URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
Netclan20241017,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,8,1,0.7777776913580343,0.038297872177455866,29.375,0.49361702127659574,11.94744680851064,29.375,116,235,2.5829787234042554,3,7.940425531914894
Netclan20241018,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,11,8,0.15789472853185638,0.03853955367436196,12.973684210526315,0.3935091277890467,5.346877335326145,12.973684210526315,194,493,2.385395537525355,9,7.354969574036511
Netclan20241019,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,13,3,0.6249999609375024,0.05860805839337708,27.3,0.43223443223443225,11.092893772893774,27.3,118,273,2.509157509157509,3,7.648351648351649
Netclan20241020,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,25,11,0.3888888780864201,0.0745341613363682,16.655172413793103,0.5383022774327122,6.8773898764903265,16.655172413793103,260,483,2.6459627329192545,6,8.039337474120083
Netclan20241021,https://insights.blackcoffer.com/development-of-ea-robot-for-automated-trading/,5,1,0.6666665555555741,0.024999999895833333,24.0,0.4791666666666667,9.791666666666668,24.0,115,240,2.6125,3,7.754166666666666
Netclan20241022,https://insights.blackcoffer.com/ai-and-ml-based-youtube-analytics-and-content-creation-tool-for-optimizing-subscriber-engagement-and-content-strategy/,8,1,0.7777776913580343,0.038297872177455866,29.375,0.49361702127659574,11.94744680851064,29.375,116,235,2.5829787234042554,3,7.940425531914894
Netclan20241023,https://insights.blackcoffer.com/enhancing-front-end-features-and-functionality-for-improved-user-experience-and-dashboard-accuracy-in-partner-hospital-application/,11,8,0.15789472853185638,0.03853955367436196,12.973684210526315,0.3935091277890467,5.346877335326145,12.973684210526315,194,493,2.385395537525355,9,7.354969574036511
Netclan20241024,https://insights.blackcoffer.com/roas-dashboard-for-campaign-wise-google-ads-budget-tracking-using-google-ads-ap/,13,3,0.6249999609375024,0.05860805839337708,27.3,0.43223443223443225,11.092893772893774,27.3,118,273,2.509157509157509,3,7.648351648351649
Netclan20241025,https://insights.blackcoffer.com/efficient-processing-and-analysis-of-financial-data-from-pdf-files-addressing-formatting-inconsistencies-and-ensuring-data-integrity-for-a-toyota-dealership-management-firm/,25,11,0.3888888780864201,0.0745341613363682,16.655172413793103,0.5383022774327122,6.8773898764903265,16.655172413793103,260,483,2.6459627329192545,6,8.039337474120083
Netclan20241026,https://insights.blackcoffer.com/transforming-and-managing-a-large-scale-sql-pedigree-database-to-neo4j-graph-db/,59,22,0.45679011781740597,0.06721991695666396,15.448717948717949,0.5186721991701245,6.38695605915523,15.448717948717949,625,1205,2.638174273858921,3,7.864730290456431
